build_year,lat,living_area,long,municipality_name,zipcode,num_rooms,object_type_name,price,water_percentage_1000,travel_time_private_transport,travel_time_public_transport,number_of_buildings_in_hectare,number_of_apartments_in_hectare,number_of_workplaces_in_hectare,number_of_workplaces_sector_1_in_hectare,number_of_workplaces_sector_2_in_hectare,number_of_workplaces_sector_3_in_hectare,population_in_hectare
2017,46.6796951293945,109.0,7.66539001464844,Spiez,3700,4.0,Wohnung,870000.0,0.02069206121508688,23.0,34.0,3,5.0,0,0,0,0,6
2018,46.8759880065918,177.0,7.63869476318359,Niederhünigen,3504,5.0,Wohnung,710000.0,0.0,15.0,36.0,2,6.0,0,0,0,0,5
1973,46.797721862793,100.0,9.82158184051514,Davos,7270,5.0,Wohnung,765000.0,0.006484110482729513,95.0,141.0,5,40.0,0,0,0,0,20
2005,46.7914009094238,104.0,9.26237201690674,Sagogn,7152,4.0,Wohnung,852000.0,0.1682586670303628,84.0,137.0,7,13.0,0,0,0,0,16
1967,46.2977066040039,92.0,7.05490350723267,Ollon,1884,3.0,Wohnung,895000.0,0.0,39.0,45.0,7,25.0,13,0,3,12,27
2017,47.5504493713379,130.0,9.1484375,Bürglen (TG),8575,4.0,Wohnung,893000.0,0.12917771190447744,41.0,62.0,3,17.0,3,0,3,0,22
2017,46.880218505859396,117.0,8.64638710021973,Altdorf (UR),6460,3.0,Wohnung,880000.0,0.0,49.0,87.0,6,40.0,6,0,3,5,55
1,46.1059341430664,73.0,7.22815704345703,Bagnes,1936,3.0,Wohnung,890000.0,0.0002684576505750181,59.0,86.0,4,21.0,0,0,0,0,3
2001,47.12952041625979,137.0,8.79558849334717,Einsiedeln,8846,4.0,Sonstiges,835000.0,0.3861588243382507,27.0,42.0,6,21.0,3,0,0,3,36
2019,47.17561340332029,118.0,8.11756229400635,Sursee,6210,4.0,Wohnung,835000.0,0.05589414857268273,41.0,46.0,4,26.0,3,0,0,3,48
2005,46.2835693359375,123.0,7.07547807693481,Gryon,1882,4.0,Wohnung,885000.0,0.0035962612128797164,43.0,88.0,5,26.0,3,0,3,3,15
2019,47.084621429443395,123.0,8.04018402099609,Menznau,6122,4.0,Wohnung,820000.0,0.0,50.0,87.0,8,12.0,3,0,3,0,42
2007,47.38272857666021,145.0,9.65595436096191,Diepoldsau,9444,4.0,Sonstiges,820000.0,0.008010711669244415,65.0,123.0,13,33.0,3,0,3,3,59
1997,46.4074478149414,210.0,8.13389492034912,Fiesch,3984,7.0,Wohnung,778000.0,0.013182758627178392,93.0,120.0,6,17.0,0,0,0,0,18
2018,46.88879013061521,140.0,7.628474235534671,Konolfingen,3510,3.0,Sonstiges,880000.0,0.0,15.0,23.0,7,14.0,3,0,0,3,15
2016,46.475067138671896,94.0,7.43397617340088,Lenk,3775,3.0,Wohnung,860000.0,0.005401605846732983,54.0,108.0,6,14.0,3,3,0,0,10
1594,46.6922073364258,137.0,9.52424716949463,Vaz/Obervaz,7082,4.0,Wohnung,890000.0,0.004273296942325256,85.0,120.0,8,12.0,0,0,0,0,15
2012,47.51831436157229,105.0,8.75675201416016,Winterthur,8404,3.0,Wohnung,850000.0,0.00028679020473020256,16.0,17.0,6,42.0,3,0,0,3,72
2018,47.360626220703104,105.0,8.79307079315186,Pfäffikon,8330,3.0,Wohnung,890000.0,0.12869471381302205,17.0,26.0,12,53.0,6,0,3,5,88
2002,47.526206970214794,100.0,7.56771993637085,Bottmingen,4103,4.0,Wohnung,860000.0,0.003522958453746008,6.0,12.0,9,46.0,3,0,0,3,95
2015,47.34677505493161,116.0,7.92539930343628,Starrkirch-Wil,4656,4.0,Wohnung,865000.0,0.0,38.0,31.0,3,15.0,0,0,0,0,17
2015,46.77689361572271,126.0,9.104851722717287,Waltensburg/Vuorz,7158,4.0,Wohnung,820000.0,0.0,93.0,143.0,3,10.0,0,0,0,0,3
1999,47.4138374328613,113.0,8.59049892425537,Wallisellen,8304,4.0,Wohnung,898000.0,0.010063371912934677,7.0,3.0,11,64.0,29,0,4,25,105
1968,46.808876037597706,95.0,9.84365940093994,Davos,7260,3.0,Wohnung,855000.0,0.03579220717879222,95.0,141.0,4,40.0,0,0,0,0,17
2018,47.4416618347168,109.0,8.63096141815186,Bassersdorf,8303,4.0,Wohnung,860000.0,0.0006138618406054286,11.0,10.0,7,51.0,3,0,3,3,93
1992,47.448204040527294,146.0,8.331907272338869,Neuenhof,5432,4.0,Sonstiges,805000.0,0.08977221941128362,15.0,16.0,6,13.0,3,0,0,3,31
1965,47.2390670776367,105.0,8.736630439758299,Stäfa,8712,4.0,Wohnung,890000.0,0.22211460958994805,25.0,23.0,9,26.0,3,0,0,3,43
1974,47.261135101318395,114.0,8.696887016296388,Männedorf,8708,4.0,Wohnung,890000.0,0.0003893741078781082,21.0,19.0,11,30.0,0,0,0,0,63
2008,46.1939811706543,122.0,9.01928806304932,Bellinzona,6500,4.0,Wohnung,850000.0,0.0322221429695972,26.0,25.0,4,23.0,22,0,3,21,35
2005,47.51012802124021,101.0,8.476734161376951,Neerach,8173,4.0,Wohnung,810000.0,0.008258364535203433,17.0,26.0,10,18.0,3,0,0,3,36
1973,46.810508728027294,100.0,9.83537006378174,Davos,7260,3.0,Wohnung,820000.0,0.0075893074858552935,95.0,141.0,5,38.0,3,0,3,3,7
2016,46.9803886413574,133.0,9.57354164123535,Malans,7208,4.0,Wohnung,830000.0,0.0,59.0,76.0,10,23.0,3,3,0,3,30
2014,47.2771873474121,136.0,8.34794521331787,Muri (AG),5630,4.0,Wohnung,880000.0,0.0,21.0,39.0,7,23.0,3,3,0,3,56
2005,46.1639823913574,150.0,8.79682350158691,Locarno,6600,4.0,Wohnung,830000.0,0.19974444368369204,35.0,57.0,4,32.0,4,0,3,3,128
2018,47.35204696655271,137.0,8.28503322601318,Wohlen (AG),5610,4.0,Wohnung,879000.0,0.0,22.0,30.0,5,5.0,3,0,3,0,9
2005,46.97432708740229,120.0,7.49748659133911,Bolligen,3065,4.0,Wohnung,890000.0,0.0,6.0,14.0,7,18.0,17,0,0,17,46
2008,47.39997863769529,110.0,8.083950042724611,Aarau,5032,3.0,Wohnung,885000.0,0.004324307885940593,27.0,46.0,6,18.0,0,0,0,0,49
1990,46.8059577941895,125.0,9.25478553771973,Laax,7031,4.0,Wohnung,880000.0,0.011415399597735841,81.0,134.0,7,48.0,3,0,0,3,17
2019,47.2661819458008,112.0,8.84621047973633,Dürnten,8632,4.0,Wohnung,830000.0,0.012390191026944658,24.0,33.0,7,33.0,3,0,0,3,74
2018,47.085231781005895,105.0,7.59822559356689,Kirchberg (BE),3422,3.0,Wohnung,845000.0,0.0,16.0,39.0,0,0.0,0,0,0,0,0
2018,47.0851974487305,105.0,7.597909450531008,Kirchberg (BE),3422,3.0,Wohnung,845000.0,0.0,16.0,39.0,5,40.0,0,0,0,0,60
2007,47.6633415222168,161.0,8.98035907745361,Steckborn,8266,4.0,Wohnung,839000.0,0.2965253993848481,39.0,79.0,10,40.0,3,0,0,3,87
2013,47.6991195678711,176.0,8.58503150939941,Beringen,8222,4.0,Wohnung,890000.0,0.0006441033542124264,37.0,65.0,8,22.0,0,0,0,0,45
2018,47.1512794494629,118.0,7.9112262725830105,Fischbach,6145,4.0,Wohnung,850000.0,8.339682335836907e-05,45.0,81.0,3,5.0,0,0,0,0,10
2013,47.298404693603494,120.0,8.84599018096924,Hinwil,8340,4.0,Wohnung,870000.0,0.0,22.0,25.0,8,31.0,0,0,0,0,63
2019,47.401741027832,121.0,8.282702445983888,Tägerig,5522,3.0,Wohnung,890000.0,0.04221622787369324,22.0,58.0,5,6.0,3,0,0,3,19
2017,47.4799957275391,105.0,8.55659008026123,Winkel,8185,3.0,Wohnung,871000.0,0.0004123713648496335,14.0,31.0,8,38.0,4,0,0,4,69
2008,46.7194480895996,133.0,7.69668340682983,Sigriswil,3656,3.0,Wohnung,890000.0,0.1940543097573211,27.0,49.0,2,9.0,3,3,0,3,13
2008,47.046905517578104,102.0,7.61923980712891,Burgdorf,3400,4.0,Wohnung,820000.0,0.0,19.0,19.0,9,63.0,3,0,3,3,109
2015,47.391750335693395,120.0,8.061963081359862,Aarau,5000,3.0,Wohnung,860000.0,0.0036264586176439884,28.0,26.0,6,35.0,3,0,0,3,91
1999,47.25973892211911,115.0,8.80039310455322,Bubikon,8633,4.0,Wohnung,860000.0,0.0,24.0,22.0,11,26.0,3,0,0,3,58
1974,47.1919822692871,105.0,8.493992805480959,Steinhausen,6312,4.0,Wohnung,870000.0,0.0007854075603863161,20.0,44.0,7,50.0,3,0,0,3,112
1994,47.143070220947294,101.0,8.42882442474365,Risch,6343,4.0,Wohnung,860000.0,0.0026759187019121033,24.0,36.0,9,47.0,8,0,3,6,122
2018,47.2973136901855,131.0,7.952990055084231,Zofingen,4800,4.0,Wohnung,895000.0,0.0008252438995156372,36.0,33.0,8,45.0,3,0,0,3,80
2010,47.342681884765604,136.0,8.483029365539549,Stallikon,8143,4.0,Sonstiges,880000.0,0.0,9.0,13.0,8,33.0,3,0,3,3,60
1999,47.5252532958984,118.0,8.78645992279053,Wiesendangen,8542,4.0,Sonstiges,890000.0,6.793290065504825e-05,22.0,29.0,7,31.0,3,0,0,3,65
2019,47.43681335449221,128.0,8.85524845123291,Turbenthal,8488,4.0,Sonstiges,807000.0,0.004987159801920354,26.0,49.0,5,12.0,3,0,3,0,25
1995,46.878833770752,108.0,8.22519016265869,Sarnen,6062,4.0,Wohnung,890000.0,0.5219905663078899,47.0,84.0,4,9.0,3,0,0,3,16
1976,46.15442276000979,106.0,8.78120517730713,Ascona,6612,3.0,Wohnung,890000.0,0.10386524506964036,35.0,74.0,13,30.0,3,0,3,3,48
2008,47.34875106811521,116.0,8.25211620330811,Villmergen,5612,4.0,Wohnung,895000.0,0.0005666272902591684,26.0,43.0,12,28.0,4,0,0,4,59
2014,47.5296211242676,100.0,8.77831649780273,Wiesendangen,8542,3.0,Wohnung,840000.0,0.0,22.0,29.0,3,8.0,0,0,0,0,13
2015,46.88046646118161,101.0,9.87908935546875,Klosters-Serneus,7250,3.0,Wohnung,880000.0,0.008505895244022576,85.0,112.0,4,36.0,3,3,0,3,6
2012,46.55807876586911,118.0,7.370977401733401,Zweisimmen,3770,4.0,Wohnung,890000.0,0.009315808260975564,45.0,82.0,12,20.0,0,0,0,0,26
2011,47.52571105957029,118.0,7.8142557144165,Magden,4312,4.0,Wohnung,895000.0,0.0,15.0,40.0,10,23.0,3,0,3,3,36
2017,47.343780517578104,124.0,8.80674934387207,Pfäffikon,8331,4.0,Wohnung,840000.0,3.7015060273101645e-05,17.0,26.0,13,22.0,3,0,3,0,37
2010,47.34268951416021,143.0,8.48304653167725,Stallikon,8143,4.0,Sonstiges,890000.0,0.0,9.0,13.0,8,33.0,3,0,3,3,60
2018,47.3086433410645,111.0,8.72125816345215,Mönchaltorf,8617,4.0,Wohnung,830000.0,0.00034773159772281693,15.0,29.0,6,27.0,5,0,3,3,76
2017,47.0266647338867,130.0,9.51176357269287,Fläsch,7306,4.0,Wohnung,850000.0,0.02842386343727988,55.0,93.0,12,17.0,3,0,0,3,36
2016,46.18114852905271,123.0,8.87886714935303,Gordola,6596,3.0,Wohnung,875000.0,0.0,29.0,46.0,10,24.0,0,0,0,0,33
1986,47.2289428710938,108.0,8.82560062408447,Rapperswil-Jona,8640,4.0,Wohnung,900000.0,0.13065647624710194,23.0,35.0,12,59.0,10,0,0,10,118
1982,46.3072395324707,110.0,7.490779876708982,Randogne,3975,4.0,Wohnung,840000.0,0.009168457967906414,69.0,116.0,2,20.0,3,0,3,0,17
2019,47.3888740539551,142.0,9.6528377532959,Diepoldsau,9444,4.0,Wohnung,855000.0,0.039035320636553086,65.0,123.0,7,7.0,0,0,0,0,23
2017,47.056827545165994,135.0,8.43063259124756,Greppen,6404,4.0,Wohnung,825000.0,0.34340678730168445,29.0,67.0,4,30.0,0,0,0,0,12
2017,47.26403427124021,109.0,8.850300788879391,Dürnten,8632,4.0,Wohnung,810000.0,0.01443095916212267,24.0,33.0,13,52.0,3,0,0,3,88
2017,47.0573806762695,131.0,8.430112838745119,Greppen,6404,4.0,Wohnung,855000.0,0.3776570669523934,29.0,67.0,4,30.0,0,0,0,0,12
2018,47.5689582824707,97.0,8.23730850219727,Böttstein,5314,3.0,Wohnung,831300.0,0.019784919775938367,32.0,40.0,0,0.0,0,0,0,0,0
2017,47.111968994140604,106.0,7.252271175384519,Port,2562,4.0,Wohnung,840000.0,0.037968738402082584,25.0,48.0,6,56.0,0,0,0,0,35
2017,46.012336730957,135.0,8.90858459472656,Bioggio,6934,4.0,Wohnung,814000.0,0.008165650136910308,9.0,22.0,4,23.0,12,0,3,9,44
2016,47.653469085693395,122.0,9.13907432556152,Tägerwilen,8274,4.0,Wohnung,850000.0,0.00017498651003377308,40.0,83.0,3,21.0,0,0,0,0,66
1973,47.4257583618164,123.0,8.39811420440674,Oetwil an der Limmat,8955,4.0,Wohnung,890000.0,0.047522006143287235,11.0,26.0,7,23.0,3,0,0,3,39
2009,47.5713119506836,100.0,8.52050876617432,Eglisau,8193,4.0,Wohnung,850000.0,0.07177202318166864,18.0,23.0,13,33.0,3,0,0,3,109
2018,47.463596343994105,123.0,9.56921672821045,Thal,9425,4.0,Wohnung,870000.0,0.00020774952937121133,59.0,104.0,5,11.0,0,0,0,0,25
2017,46.4294853210449,74.0,6.925885200500491,Montreux,1823,3.0,Wohnung,850000.0,0.16105380878352288,22.0,20.0,5,7.0,0,0,0,0,5
2019,47.48056411743161,114.0,8.50788688659668,Oberglatt,8154,4.0,Wohnung,850000.0,0.0150990239227548,10.0,9.0,9,16.0,3,3,0,3,45
2015,47.390811920165994,101.0,8.061793327331541,Aarau,5000,2.0,Wohnung,800000.0,0.0019150498056569746,28.0,26.0,7,21.0,3,0,3,0,45
2018,47.42467880249021,82.0,8.40065670013428,Oetwil an der Limmat,8955,2.0,Wohnung,850000.0,0.04603168210535532,11.0,26.0,7,10.0,3,0,0,3,29
2019,46.998992919921896,115.0,7.45670461654663,Zollikofen,3052,4.0,Wohnung,805000.0,0.0,9.0,14.0,13,76.0,3,0,3,3,139
2017,47.6059226989746,153.0,9.01346015930176,Müllheim,8555,5.0,Wohnung,890000.0,0.008714423281624075,31.0,50.0,1,5.0,0,0,0,0,7
1999,47.510814666748,162.0,8.468921661376951,Neerach,8173,4.0,Sonstiges,895000.0,0.0010514406049624266,17.0,26.0,16,28.0,3,0,0,3,63
2019,47.546695709228494,122.0,9.382669448852539,Egnach,9322,3.0,Wohnung,790000.0,0.3518361386266767,59.0,87.0,9,14.0,3,0,0,3,40
2019,47.3218765258789,99.0,8.20585823059082,Seengen,5707,3.0,Wohnung,840000.0,0.14289994507778947,31.0,53.0,8,32.0,0,0,0,0,69
2018,46.873908996582,92.0,7.56400871276855,Münsingen,3110,3.0,Wohnung,825000.0,0.000139231952229258,11.0,17.0,2,3.0,0,0,0,0,3
2018,47.01134872436521,121.0,8.64533805847168,Schwyz,6438,4.0,Wohnung,890000.0,0.020480847214978084,36.0,63.0,6,19.0,6,0,3,4,51
2018,47.0462646484375,129.0,9.44319438934326,Sargans,7320,4.0,Wohnung,820000.0,0.0012821460063478511,52.0,59.0,7,52.0,3,0,0,3,78
2017,47.4920845031738,136.0,8.55450344085693,Winkel,8185,3.0,Wohnung,810000.0,0.0,14.0,31.0,10,51.0,3,0,0,3,106
2019,46.791744232177706,111.0,9.26117706298828,Sagogn,7152,4.0,Wohnung,825000.0,0.15638080395189108,84.0,137.0,9,16.0,0,0,0,0,7
2019,47.4805374145508,117.0,8.50829029083252,Oberglatt,8154,4.0,Wohnung,865000.0,0.015203129517972144,10.0,9.0,7,18.0,3,0,0,3,32
1991,47.2766990661621,145.0,8.83895111083984,Dürnten,8635,6.0,Sonstiges,850000.0,0.00023102109109375367,24.0,33.0,7,34.0,3,0,0,3,88
2006,47.167018890380895,126.0,8.980305671691891,Reichenburg,8864,4.0,Wohnung,827000.0,0.007422113585750703,29.0,45.0,5,40.0,3,0,0,3,82
2018,47.17529296875,125.0,8.87948036193848,Galgenen,8854,5.0,Wohnung,895000.0,0.005861599829068394,23.0,54.0,7,11.0,0,0,0,0,23
2014,47.39456939697271,127.0,8.64947032928467,Dübendorf,8600,4.0,Wohnung,895000.0,0.0004362652173213958,8.0,4.0,4,19.0,3,0,3,3,55
1973,47.3043365478516,119.0,8.76002979278564,Gossau (ZH),8625,4.0,Wohnung,885000.0,0.00041654750211108613,20.0,31.0,6,44.0,4,0,3,3,87
1988,46.4760894775391,97.0,7.13378095626831,Château-d'Oex,1660,4.0,Wohnung,850000.0,0.01663038070277435,53.0,106.0,7,19.0,3,0,3,3,29
2018,46.8698616027832,98.0,9.5363187789917,Chur,7000,3.0,Wohnung,825000.0,0.026127777555859467,66.0,79.0,17,22.0,0,0,0,0,47
2017,46.983978271484396,108.0,9.57040309906006,Malans,7208,2.0,Wohnung,843180.0,0.0,59.0,76.0,4,12.0,0,0,0,0,23
2019,47.4802093505859,114.0,8.50812721252441,Oberglatt,8154,4.0,Wohnung,850000.0,0.014862269883213606,10.0,9.0,0,0.0,0,0,0,0,0
1992,47.2991065979004,115.0,8.84534168243408,Hinwil,8340,4.0,Wohnung,820000.0,0.0,22.0,25.0,9,39.0,3,0,3,3,68
1974,47.45934677124021,134.0,9.03849506378174,Wil (SG),9500,6.0,Wohnung,885000.0,0.0,33.0,47.0,14,34.0,8,0,3,7,76
2019,47.490139007568395,130.0,7.5126047134399405,Bättwil,4112,4.0,Wohnung,845000.0,0.07788091690935897,15.0,33.0,2,2.0,0,0,0,0,5
2011,46.9861450195312,127.0,6.867071151733401,Corcelles-Cormondrèche,2035,4.0,Sonstiges,860000.0,0.0006363646613646886,39.0,71.0,16,16.0,3,0,0,3,55
2018,47.0446434020996,140.0,8.60621070861816,Steinen,6422,5.0,Wohnung,790000.0,0.06182294719509295,35.0,57.0,3,7.0,3,0,3,0,4
1972,47.0517082214355,112.0,8.33945941925049,Luzern,6006,5.0,Wohnung,885000.0,0.3492841449969133,31.0,48.0,5,44.0,9,0,0,9,75
2018,47.3342399597168,128.0,9.399171829223633,Appenzell,9050,4.0,Wohnung,878000.0,0.016594038438913196,58.0,111.0,1,2.0,3,0,3,3,3
1968,47.498928070068395,110.0,7.620041847229,Arlesheim,4144,5.0,Wohnung,850000.0,0.0,9.0,9.0,12,24.0,4,0,0,4,50
1970,47.4880561828613,152.0,8.28545188903809,Obersiggenthal,5415,5.0,Wohnung,882000.0,0.034462109374413345,20.0,37.0,9,61.0,3,0,0,3,124
2019,47.5471267700195,136.0,9.2762975692749,Amriswil,8580,5.0,Wohnung,825000.0,0.0011722855249216367,52.0,64.0,8,27.0,3,0,3,3,80
1994,47.1407318115234,85.0,8.57045459747314,Unterägeri,6314,4.0,Wohnung,840000.0,0.009036340112936692,26.0,50.0,0,0.0,0,0,0,0,0
2018,47.373928070068395,97.0,8.79435539245605,Pfäffikon,8330,3.0,Wohnung,870000.0,0.007136788260666394,17.0,26.0,3,4.0,3,0,0,3,11
2017,47.1064605712891,148.0,7.247038841247559,Bellmund,2564,4.0,Sonstiges,895000.0,0.0,25.0,51.0,3,10.0,3,3,0,0,15
2004,46.8579330444336,72.0,9.88479900360107,Klosters-Serneus,7250,3.0,Wohnung,810000.0,0.012208145711097894,85.0,112.0,2,11.0,0,0,0,0,3
1968,46.0981674194336,86.0,7.2260017395019505,Bagnes,1936,3.0,Wohnung,860000.0,0.0002684576505750181,59.0,86.0,7,47.0,4,0,0,4,31
2011,47.5550651550293,159.0,8.5005931854248,Glattfelden,8192,4.0,Sonstiges,810000.0,0.012623105912996443,19.0,34.0,4,27.0,3,0,3,3,57
1976,47.0263519287109,153.0,7.4948148727417,Urtenen-Schönbühl,3322,5.0,Wohnung,886000.0,0.016118501215040458,12.0,22.0,3,6.0,3,0,0,3,9
2011,46.8829116821289,138.0,8.64488410949707,Altdorf (UR),6460,5.0,Sonstiges,865000.0,0.0,49.0,87.0,9,22.0,8,0,3,7,45
1966,47.3166732788086,100.0,8.51749515533447,Adliswil,8134,4.0,Wohnung,890000.0,0.02901624531578533,6.0,8.0,10,50.0,0,0,0,0,83
2015,47.3915023803711,119.0,8.06159210205078,Aarau,5000,4.0,Wohnung,860000.0,0.002339153169619898,28.0,26.0,6,35.0,3,0,0,3,91
2001,46.68949890136721,145.0,7.77942419052124,Beatenberg,3803,4.0,Sonstiges,835000.0,0.07802433553970478,36.0,82.0,4,9.0,0,0,0,0,9
2008,47.0721549987793,123.0,8.362473487854,Adligenswil,6043,4.0,Wohnung,890000.0,9.862486707533418e-05,32.0,66.0,9,70.0,3,0,3,3,169
2012,47.2476921081543,112.0,8.77786064147949,Hombrechtikon,8634,4.0,Wohnung,885000.0,0.0005015419146283497,22.0,39.0,8,38.0,3,0,0,3,82
2015,47.1040840148926,139.0,8.67745018005371,Rothenthurm,6418,6.0,Wohnung,830000.0,0.0,29.0,64.0,13,23.0,4,0,0,4,39
1983,46.9934425354004,150.0,8.52768230438232,Gersau,6442,6.0,Sonstiges,850000.0,0.3190581969020049,41.0,81.0,7,34.0,5,0,3,4,83
1991,47.1981620788574,152.0,8.10987186431885,Geuensee,6232,6.0,Wohnung,850000.0,0.00031142216499848216,40.0,65.0,5,21.0,14,3,0,13,45
2016,47.516357421875,105.0,7.60400485992432,Münchenstein,4142,4.0,Wohnung,855000.0,0.007781153488553794,7.0,6.0,6,9.0,3,0,0,3,18
1974,47.4830207824707,161.0,7.7481393814086905,Liestal,4410,6.0,Wohnung,810000.0,0.0102529180317427,15.0,16.0,13,44.0,0,0,0,0,73
1989,47.22334289550779,146.0,8.49661922454834,Kappel am Albis,8926,5.0,Wohnung,823000.0,0.0,23.0,39.0,6,20.0,3,0,0,3,49
2010,47.699066162109396,187.0,8.58435153961182,Beringen,8222,5.0,Wohnung,890000.0,0.0006441033542124264,37.0,65.0,8,22.0,0,0,0,0,45
1990,46.028507232665994,116.0,8.95523643493652,Porza,6948,4.0,Wohnung,890000.0,0.0055145367158654385,11.0,15.0,6,23.0,3,0,0,3,55
1993,47.5645217895508,178.0,7.8373274803161594,Möhlin,4313,5.0,Sonstiges,890000.0,0.0,16.0,29.0,9,43.0,3,0,0,3,85
2006,47.27792739868161,126.0,8.836297035217289,Dürnten,8635,5.0,Wohnung,850000.0,9.504118340357792e-05,24.0,33.0,4,25.0,3,0,3,3,58
2014,46.5974349975586,141.0,6.37262964248657,Montricher,1147,4.0,Wohnung,875000.0,0.0,25.0,53.0,9,18.0,3,3,0,3,43
2016,47.6079254150391,135.0,8.91104698181152,Herdern,8535,4.0,Wohnung,855000.0,0.0007840579160325733,31.0,66.0,7,25.0,0,0,0,0,20
1950,47.13293075561521,160.0,8.13759422302246,Nottwil,6207,7.0,Sonstiges,890000.0,0.1546188876386533,41.0,61.0,4,13.0,8,3,3,5,24
2016,46.4415130615234,88.0,7.44321727752686,Lenk,3775,4.0,Wohnung,830000.0,0.006368003307308265,54.0,108.0,9,10.0,3,0,3,0,14
1980,47.46813583374021,152.0,9.48314094543457,Rorschacherberg,9404,5.0,Wohnung,865000.0,0.0,57.0,91.0,14,22.0,0,0,0,0,36
1976,45.95426177978521,200.0,8.96859169006348,Bissone,6816,4.0,Sonstiges,870000.0,0.22372899355799614,10.0,15.0,4,9.0,0,0,0,0,13
2001,47.279712677002,134.0,8.84320545196533,Dürnten,8635,5.0,Wohnung,830000.0,0.0004706495205043705,24.0,33.0,9,43.0,0,0,0,0,72
1975,46.863067626953104,140.0,9.52795028686523,Chur,7000,5.0,Wohnung,890000.0,0.02878050881069365,66.0,79.0,2,20.0,3,0,0,3,54
2019,47.526859283447294,163.0,8.438158988952638,Bachs,8164,5.0,Wohnung,850000.0,0.0,20.0,32.0,3,3.0,0,0,0,0,6
2011,47.5015449523926,156.0,8.00435543060303,Gipf-Oberfrick,5073,5.0,Wohnung,845000.0,0.00018107918333824964,29.0,40.0,4,27.0,0,0,0,0,41
2017,47.2947120666504,130.0,8.39453601837158,Jonen,8916,4.0,Wohnung,840000.0,0.038503523905267054,17.0,28.0,7,29.0,3,0,0,3,74
2004,47.4915771484375,131.0,7.71487951278687,Liestal,4410,5.0,Wohnung,890000.0,0.002818006759619891,15.0,16.0,2,16.0,3,0,0,3,25
2008,46.9367065429688,145.0,7.35376167297363,Bern,3019,5.0,Wohnung,895000.0,0.0,0.0,0.0,21,34.0,3,0,0,3,84
2008,47.3370246887207,157.0,8.85349655151367,Bäretswil,8344,6.0,Sonstiges,890000.0,0.000649356633003708,24.0,39.0,10,19.0,3,0,0,3,52
2017,47.42276763916021,147.0,9.08814239501953,Jonschwil,9243,5.0,Wohnung,830000.0,0.02815795501038772,41.0,62.0,12,43.0,3,0,0,3,81
2019,47.4299125671387,140.0,7.700201511383059,Ziefen,4417,4.0,Wohnung,825000.0,0.003005174709126142,22.0,39.0,2,2.0,0,0,0,0,6
2017,47.4202766418457,113.0,7.49929141998291,Laufen,4242,4.0,Wohnung,855000.0,0.014395077904258863,19.0,23.0,5,11.0,4,0,0,4,17
1972,46.9422721862793,115.0,7.49720048904419,Bern,3073,5.0,Wohnung,840000.0,0.0,6.0,14.0,5,15.0,3,0,3,0,26
2018,47.4058723449707,108.0,8.39593410491943,Dietikon,8953,4.0,Wohnung,860000.0,0.032379311083554116,11.0,7.0,8,55.0,4,0,0,4,98
2013,46.17008972167971,135.0,9.012495040893553,Giubiasco,6512,4.0,Wohnung,890000.0,0.01341036210485208,21.0,26.0,31,47.0,3,0,3,3,74
